School,Web Address,HSRating_WebScrap,HSRating
"Abraham Lincoln High School (San Francisco, CA)","https://www.greatschools.org/search/search.page?q=%22Abraham%20Lincoln%20High%20School%20(San%20Francisco,%20CA)%22",-2,6
"Abraham Lincoln High School (San Jose, CA)","https://www.greatschools.org/search/search.page?q=%22Abraham%20Lincoln%20High%20School%20(San%20Jose,%20CA)%22",-2,5
Adult Education Program,https://www.greatschools.org/search/search.page?q=%22Adult%20Education%20Program%22,-1,2
Alief Hastings High School,https://www.greatschools.org/search/search.page?q=%22Alief%20Hastings%20High%20School%22,-2,2
Amistad High School,https://www.greatschools.org/search/search.page?q=%22Amistad%20High%20School%22,-2,2
Asawa San Francisco School of the Arts (SOTA),https://www.greatschools.org/search/search.page?q=%22Asawa%20San%20Francisco%20School%20of%20the%20Arts%20(SOTA)%22,-2,5
Berkeley Adult School,https://www.greatschools.org/search/search.page?q=%22Berkeley%20Adult%20School%22,-2,0
Bishop Amat Memorial High School,https://www.greatschools.org/search/search.page?q=%22Bishop%20Amat%20Memorial%20High%20School%22,-1,8
Cardinal Newman High School,https://www.greatschools.org/search/search.page?q=%22Cardinal%20Newman%20High%20School%22,-1,2
De Anza High School,https://www.greatschools.org/search/search.page?q=%22De%20Anza%20High%20School%22,-2,1
Downtown High School,https://www.greatschools.org/search/search.page?q=%22Downtown%20High%20School%22,-1,4
El Camino High School,https://www.greatschools.org/search/search.page?q=%22El%20Camino%20High%20School%22,-1,0
El Cerrito High School,https://www.greatschools.org/search/search.page?q=%22El%20Cerrito%20High%20School%22,-2,4
El Molino High School,https://www.greatschools.org/search/search.page?q=%22El%20Molino%20High%20School%22,-2,8
Fairfield-Suisun Adult School,https://www.greatschools.org/search/search.page?q=%22Fairfield-Suisun%20Adult%20School%22,-2,2
Freedom High School,https://www.greatschools.org/search/search.page?q=%22Freedom%20High%20School%22,-1,1
Ida B. Wells Continuation High School,https://www.greatschools.org/search/search.page?q=%22Ida%20B.%20Wells%20Continuation%20High%20School%22,-2,1
Immaculate Conception Academy,https://www.greatschools.org/search/search.page?q=%22Immaculate%20Conception%20Academy%22,-1,1
Independence High School,https://www.greatschools.org/search/search.page?q=%22Independence%20High%20School%22,-1,1
Jesse Bethel High School,https://www.greatschools.org/search/search.page?q=%22Jesse%20Bethel%20High%20School%22,-2,2
"John F. Kennedy High School (Richmond, CA)","https://www.greatschools.org/search/search.page?q=%22John%20F.%20Kennedy%20High%20School%20(Richmond,%20CA)%22",-2,0
June Jordan School for Equity,https://www.greatschools.org/search/search.page?q=%22June%20Jordan%20School%20for%20Equity%22,-2,-2
Lowell High School,https://www.greatschools.org/search/search.page?q=%22Lowell%20High%20School%22,-1,9
