,School,Web Address,HSRating
0,San Rafael High School,https://www.greatschools.org/search/search.page?q=%22San%20Rafael%20High%20School%22,3
1,Novato High School,https://www.greatschools.org/search/search.page?q=%22Novato%20High%20School%22,6
2,San Marin High School,https://www.greatschools.org/search/search.page?q=%22San%20Marin%20High%20School%22,7
3,Sonoma Valley High School,https://www.greatschools.org/search/search.page?q=%22Sonoma%20Valley%20High%20School%22,4
4,Sylvester Greenwood Academy,https://www.greatschools.org/search/search.page?q=%22Sylvester%20Greenwood%20Academy%22,-2
5,Non-Partner School,https://www.greatschools.org/search/search.page?q=%22Non-Partner%20School%22,-2
6,Archie Williams High School,https://www.greatschools.org/search/search.page?q=%22Archie%20Williams%20High%20School%22,7
7,Asawa San Francisco School of the Arts (SOTA),https://www.greatschools.org/search/search.page?q=%22Asawa%20San%20Francisco%20School%20of%20the%20Arts%20(SOTA)%22,-2
8,Casa Grande High School,https://www.greatschools.org/search/search.page?q=%22Casa%20Grande%20High%20School%22,5
9,Credo High School,https://www.greatschools.org/search/search.page?q=%22Credo%20High%20School%22,7
10,De Anza High School,https://www.greatschools.org/search/search.page?q=%22De%20Anza%20High%20School%22,-2
11,Downtown High School,https://www.greatschools.org/search/search.page?q=%22Downtown%20High%20School%22,-1
12,Healdsburg High School,https://www.greatschools.org/search/search.page?q=%22Healdsburg%20High%20School%22,5
13,Marin Oaks High School,https://www.greatschools.org/search/search.page?q=%22Marin%20Oaks%20High%20School%22,-1
14,Mission High School,https://www.greatschools.org/search/search.page?q=%22Mission%20High%20School%22,-1
15,Petaluma High School,https://www.greatschools.org/search/search.page?q=%22Petaluma%20High%20School%22,6
16,Piner High School,https://www.greatschools.org/search/search.page?q=%22Piner%20High%20School%22,1
17,"Redwood High School (Larkspur, CA)","https://www.greatschools.org/search/search.page?q=%22Redwood%20High%20School%20(Larkspur,%20CA)%22",-2
18,Richmond High School,https://www.greatschools.org/search/search.page?q=%22Richmond%20High%20School%22,2
19,Salinas High School,https://www.greatschools.org/search/search.page?q=%22Salinas%20High%20School%22,3
20,Tamalpais High School,https://www.greatschools.org/search/search.page?q=%22Tamalpais%20High%20School%22,8
21,Tamiscal High School,https://www.greatschools.org/search/search.page?q=%22Tamiscal%20High%20School%22,-2
22,Terra Linda High School,https://www.greatschools.org/search/search.page?q=%22Terra%20Linda%20High%20School%22,5
23,Yerba Buena High School,https://www.greatschools.org/search/search.page?q=%22Yerba%20Buena%20High%20School%22,4
24,Balboa High School,https://www.greatschools.org/search/search.page?q=%22Balboa%20High%20School%22,6
25,Elsie Allen High School,https://www.greatschools.org/search/search.page?q=%22Elsie%20Allen%20High%20School%22,0
26,"Abraham Lincoln High School (San Francisco, CA)","https://www.greatschools.org/search/search.page?q=%22Abraham%20Lincoln%20High%20School%20(San%20Francisco,%20CA)%22",-2
27,"John F. Kennedy High School (Richmond, CA)","https://www.greatschools.org/search/search.page?q=%22John%20F.%20Kennedy%20High%20School%20(Richmond,%20CA)%22",-2
28,Madrone High School,https://www.greatschools.org/search/search.page?q=%22Madrone%20High%20School%22,-2
29,Phillip and Sala Burton Academic High School,https://www.greatschools.org/search/search.page?q=%22Phillip%20and%20Sala%20Burton%20Academic%20High%20School%22,-2
30,Silver Creek High School,https://www.greatschools.org/search/search.page?q=%22Silver%20Creek%20High%20School%22,4
31,Thurgood Marshall High School,https://www.greatschools.org/search/search.page?q=%22Thurgood%20Marshall%20High%20School%22,1
32,Tomales High School,https://www.greatschools.org/search/search.page?q=%22Tomales%20High%20School%22,2
33,American Canyon High School,https://www.greatschools.org/search/search.page?q=%22American%20Canyon%20High%20School%22,5
34,Andrew P. Hill High School,https://www.greatschools.org/search/search.page?q=%22Andrew%20P.%20Hill%20High%20School%22,2
35,California Virtual Academy @ San Mateo,https://www.greatschools.org/search/search.page?q=%22California%20Virtual%20Academy%20@%20San%20Mateo%22,5
36,City Arts and Tech High School,https://www.greatschools.org/search/search.page?q=%22City%20Arts%20and%20Tech%20High%20School%22,3
37,Cloverdale High School,https://www.greatschools.org/search/search.page?q=%22Cloverdale%20High%20School%22,6
38,El Cerrito High School,https://www.greatschools.org/search/search.page?q=%22El%20Cerrito%20High%20School%22,-2
39,El Molino High School,https://www.greatschools.org/search/search.page?q=%22El%20Molino%20High%20School%22,-2
40,Ernest Righetti High School,https://www.greatschools.org/search/search.page?q=%22Ernest%20Righetti%20High%20School%22,4
41,Evergreen Valley High School,https://www.greatschools.org/search/search.page?q=%22Evergreen%20Valley%20High%20School%22,8
42,Galileo High School,https://www.greatschools.org/search/search.page?q=%22Galileo%20High%20School%22,6
43,Gateway High School,https://www.greatschools.org/search/search.page?q=%22Gateway%20High%20School%22,2
44,George Washington High School,https://www.greatschools.org/search/search.page?q=%22George%20Washington%20High%20School%22,2
45,Ida B. Wells Continuation High School,https://www.greatschools.org/search/search.page?q=%22Ida%20B.%20Wells%20Continuation%20High%20School%22,-2
46,Independence High School,https://www.greatschools.org/search/search.page?q=%22Independence%20High%20School%22,-1
47,June Jordan School for Equity,https://www.greatschools.org/search/search.page?q=%22June%20Jordan%20School%20for%20Equity%22,-2
48,Leadership Public Schools Richmond,https://www.greatschools.org/search/search.page?q=%22Leadership%20Public%20Schools%20Richmond%22,4
49,Lowell High School,https://www.greatschools.org/search/search.page?q=%22Lowell%20High%20School%22,-1
50,Maria Carrillo High School,https://www.greatschools.org/search/search.page?q=%22Maria%20Carrillo%20High%20School%22,6
51,Mount Pleasant High School,https://www.greatschools.org/search/search.page?q=%22Mount%20Pleasant%20High%20School%22,3
52,Napa High School,https://www.greatschools.org/search/search.page?q=%22Napa%20High%20School%22,3
53,NOVA Independent Study,https://www.greatschools.org/search/search.page?q=%22NOVA%20Independent%20Study%22,-2
54,Oak Grove High School,https://www.greatschools.org/search/search.page?q=%22Oak%20Grove%20High%20School%22,5
55,Oakland High School,https://www.greatschools.org/search/search.page?q=%22Oakland%20High%20School%22,0
56,Piedmont Hills High School,https://www.greatschools.org/search/search.page?q=%22Piedmont%20Hills%20High%20School%22,7
57,Pinole Valley High School,https://www.greatschools.org/search/search.page?q=%22Pinole%20Valley%20High%20School%22,3
58,Presentation High School,https://www.greatschools.org/search/search.page?q=%22Presentation%20High%20School%22,-1
59,Roseland Collegiate Prep,https://www.greatschools.org/search/search.page?q=%22Roseland%20Collegiate%20Prep%22,-2
60,Saint Helena High School,https://www.greatschools.org/search/search.page?q=%22Saint%20Helena%20High%20School%22,6
61,Saint Vincent de Paul High School,https://www.greatschools.org/search/search.page?q=%22Saint%20Vincent%20de%20Paul%20High%20School%22,-2
62,San Andreas High School,https://www.greatschools.org/search/search.page?q=%22San%20Andreas%20High%20School%22,-1
63,San Francisco International High School,https://www.greatschools.org/search/search.page?q=%22San%20Francisco%20International%20High%20School%22,-2
64,Santa Rosa High School,https://www.greatschools.org/search/search.page?q=%22Santa%20Rosa%20High%20School%22,5
65,Santa Teresa High School,https://www.greatschools.org/search/search.page?q=%22Santa%20Teresa%20High%20School%22,5
66,Sonoma Mountain High School,https://www.greatschools.org/search/search.page?q=%22Sonoma%20Mountain%20High%20School%22,-2
67,Technology High School,https://www.greatschools.org/search/search.page?q=%22Technology%20High%20School%22,8
68,The Academy - San Francisco @ McAteer,https://www.greatschools.org/search/search.page?q=%22The%20Academy%20-%20San%20Francisco%20@%20McAteer%22,-2
69,Valley Oak High School,https://www.greatschools.org/search/search.page?q=%22Valley%20Oak%20High%20School%22,-1
70,Vintage High School,https://www.greatschools.org/search/search.page?q=%22Vintage%20High%20School%22,3
71,Windsor High School,https://www.greatschools.org/search/search.page?q=%22Windsor%20High%20School%22,4
72,East Palo Alto Academy,https://www.greatschools.org/search/search.page?q=%22East%20Palo%20Alto%20Academy%22,1
73,Greenfield High School,https://www.greatschools.org/search/search.page?q=%22Greenfield%20High%20School%22,2
74,Adult Education Program,https://www.greatschools.org/search/search.page?q=%22Adult%20Education%20Program%22,-1
75,"Abraham Lincoln High School (San Jose, CA)","https://www.greatschools.org/search/search.page?q=%22Abraham%20Lincoln%20High%20School%20(San%20Jose,%20CA)%22",-2
76,Alief Hastings High School,https://www.greatschools.org/search/search.page?q=%22Alief%20Hastings%20High%20School%22,-2
77,Salesian High School d/b/a Salesian College Preparatory,https://www.greatschools.org/search/search.page?q=%22Salesian%20High%20School%20d/b/a%20Salesian%20College%20Preparatory%22,-2
78,El Camino High School,https://www.greatschools.org/search/search.page?q=%22El%20Camino%20High%20School%22,-1
79,Montgomery High School,https://www.greatschools.org/search/search.page?q=%22Montgomery%20High%20School%22,8
80,Nova Education Center,https://www.greatschools.org/search/search.page?q=%22Nova%20Education%20Center%22,-1
81,Rio Vista High School,https://www.greatschools.org/search/search.page?q=%22Rio%20Vista%20High%20School%22,3
82,Jesse Bethel High School,https://www.greatschools.org/search/search.page?q=%22Jesse%20Bethel%20High%20School%22,-2
83,Immaculate Conception Academy,https://www.greatschools.org/search/search.page?q=%22Immaculate%20Conception%20Academy%22,-1
84,Wallenberg (Raoul) Traditional High,https://www.greatschools.org/search/search.page?q=%22Wallenberg%20(Raoul)%20Traditional%20High%22,7
85,Sunnyside High School,https://www.greatschools.org/search/search.page?q=%22Sunnyside%20High%20School%22,2
86,North Monterey County High School,https://www.greatschools.org/search/search.page?q=%22North%20Monterey%20County%20High%20School%22,2
87,Freedom High School,https://www.greatschools.org/search/search.page?q=%22Freedom%20High%20School%22,-1
88,Summit Public School K2,https://www.greatschools.org/search/search.page?q=%22Summit%20Public%20School%20K2%22,4
89,Capuchino High School,https://www.greatschools.org/search/search.page?q=%22Capuchino%20High%20School%22,5
